Base_addr,Register_Name,Reg_Addr_Offset_hex,REG_ADDR_hex,Reg_Type,Field_Name,Bit_Width,Reset_Value_hex,Description,signal_info
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_VERSION_REGISTER,0,A0000000,RO,hc_revision_num,[15:0],0,Revision number,param.hc_revision_num
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_VERSION_REGISTER,0,A0000000,RO,hc_minor_version,[23:16],0,minor version,param.hc_minor_version
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_VERSION_REGISTER,0,A0000000,RO,hc_major_version,[31:24],0,major version,param.hc_major_version
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_REVISION,4,A0000004,RO,hc_debug_revision,[31:0],0,Debug build version. Should be 0 for official builds. ,param.hc_debug_revision
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_TIMESTAMP,8,A0000008,RO,hc_timestamp,[31:0],0,timestamp,stat.hc_timestamp
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_0,1F00,A0001F00,RW,hc_debug_rw_0,[31:0],0,debug ethernet loopback,ctrl.debug_rw[0]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_1,1F04,A0001F04,RW,hc_debug_rw_1,[31:0],1,debug ethernet restart_tx_rx,ctrl.debug_rw[1]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_2,1F08,A0001F08,RW,hc_debug_rw_2,[31:0],1,debug ethernet sys_reset,ctrl.debug_rw[2]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_3,1F0C,A0001F0C,RW,hc_debug_rw_3,[31:0],0,,ctrl.debug_rw[3]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_4,1F10,A0001F10,RW,hc_debug_rw_4,[31:0],0,,ctrl.debug_rw[4]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_5,1F14,A0001F14,RW,hc_debug_rw_5,[31:0],0,,ctrl.debug_rw[5]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_6,1F18,A0001F18,RW,hc_debug_rw_6,[31:0],0,,ctrl.debug_rw[6]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_7,1F1C,A0001F1C,RW,hc_debug_rw_7,[31:0],0,,ctrl.debug_rw[7]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_8,1F20,A0001F20,RW,hc_debug_rw_8,[31:0],0,,ctrl.debug_rw[8]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_9,1F24,A0001F24,RW,hc_debug_rw_9,[31:0],0,,ctrl.debug_rw[9]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_10,1F28,A0001F28,RW,hc_debug_rw_10,[31:0],0,,ctrl.debug_rw[10]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_11,1F2C,A0001F2C,RW,hc_debug_rw_11,[31:0],0,,ctrl.debug_rw[11]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_12,1F30,A0001F30,RW,hc_debug_rw_12,[31:0],0,,ctrl.debug_rw[12]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_13,1F34,A0001F34,RW,hc_debug_rw_13,[31:0],0,,ctrl.debug_rw[13]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_14,1F38,A0001F38,RW,hc_debug_rw_14,[31:0],0,,ctrl.debug_rw[14]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_15,1F3C,A0001F3C,RW,hc_debug_rw_15,[31:0],0,,ctrl.debug_rw[15]
FPGA_BASE_ADDR_TOP_CTRL_HELPCHIP,HC_DEBUG_RW_16,1F40,A0001F40,RW,hc_debug_rw_16,[31:0],0,,ctrl.debug_rw[16]
