Parameter Name,Base Address_hex,Base Address Start,Range,Comments
FPGA_BASE_ADDR_TOP_CTRL_CMN,A0262000,A026_2000,8K,"Contains Release control info, common control and Personlity Registers"
FPGA_BASE_ADDR_TOP_CTRL_TEST,A026A000,A026_A000,8K, 
FPGA_BASE_ADDR_TOP_CTRL_HW,A026C000,A026_C000,8K,
FPGA_BASE_ADDR_TOP_CTRL_INTR,A026E000,A026_E000,8K,
FPGA_BASE_ADDR_RF_DATA_CONVERTER,A1000000,A100_0000, , 
FPGA_BASE_ADDR_DEBUG_FH_BUF,A2000000,A200_0000,128K,"This buffer also have names like DFE Buffer, Waveform Generator"
FPGA_BASE_ADDR_DEBUG_RF_BUF,A2200000,A220_0000,2M,This buffer is also called DAC Buffer
FPGA_BASE_ADDR_GPIO0,A4000000,A400_0000,4K,For master interrupt from the PL
FPGA_BASE_ADDR_I2C_SFP0,A4010000,A401_0000,64K,AXI IIC Controller for SFP0
FPGA_BASE_ADDR_I2C_SFP1,A4020000,A402_0000,64K,AXI IIC Controller for SFP1
FPGA_BASE_ADDR_I2C_PA1,A4030000,A403_0000,64K,AXI IIC Controller for PA 1 board
FPGA_BASE_ADDR_I2C_PA2,A4040000,A404_0000,64K,AXI IIC Controller for PA 2 board
