Base_addr,Register_Name,Reg_Addr_Offset_hex,REG_ADDR_hex,Reg_Type,Field_Name,Bit_Width,Reset_Value_hex,Description,signal_info
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_PL_COLD_RST,8,A026C008,RW,cold_rst_n,[0],1,,ctrl.cold_rst_n
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_PL_COLD_RST_MASK,C,A026C00C,RW,cold_rst_n_mask,[0],1,1 = Mask cold_rst_n,ctrl.cold_rst_n_mask
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_SPI_BANK_SELECT,10,A026C010,RW,spi_bank_sel,[3:0],0,"0 =  Disable SPI Access, 1 = TX DSAs 0 to 3, 2 = TX DSAs 4 to 7, 3 = ORx DSAs 0 to 3, 4 = ORx DSA 4 to 7",ctrl.spi_bank_sel
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac0_dl_dfe_sel,[2:0],2,Select DL DFE stream (0 to 7) for DAC 0 (Bank228 DAC0) - DL Radio Path 1,ctrl.dac_dl_dfe_sel[0]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac1_dl_dfe_sel,[6:4],1,Select DL DFE stream (0 to 7) for DAC 1 (Bank228 DAC1) - DL Radio Path 2,ctrl.dac_dl_dfe_sel[1]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac2_dl_dfe_sel,[10:8],3,Select DL DFE stream (0 to 7) for DAC 2 (Bank228 DAC2) - DL Radio Path 3,ctrl.dac_dl_dfe_sel[2]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac3_dl_dfe_sel,[14:12],0,Select DL DFE stream (0 to 7) for DAC 3 (Bank228 DAC3) - DL Radio Path 4,ctrl.dac_dl_dfe_sel[3]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac4_dl_dfe_sel,[18:16],7,Select DL DFE stream (0 to 7) for DAC 4 (Bank229 DAC0) - DL Radio Path 5,ctrl.dac_dl_dfe_sel[4]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac5_dl_dfe_sel,[22:20],4,Select DL DFE stream (0 to 7) for DAC 5 (Bank229 DAC1) - DL Radio Path 6,ctrl.dac_dl_dfe_sel[5]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac6_dl_dfe_sel,[26:24],6,Select DL DFE stream (0 to 7) for DAC 6 (Bank229 DAC2) - DL Radio Path 7,ctrl.dac_dl_dfe_sel[6]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_DL_DFE_RADIO_PATH_MAP,20,A026C020,RW,dac7_dl_dfe_sel,[30:28],5,Select DL DFE stream (0 to 7) for DAC 7 (Bank229 DAC3) - DL Radio Path 8,ctrl.dac_dl_dfe_sel[7]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx0_adc_sel,[2:0],3,"Select ADC for UL DFE0 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[0]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx1_adc_sel,[6:4],1,"Select ADC for UL DFE1 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[1]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx2_adc_sel,[10:8],0,"Select ADC for UL DFE2 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[2]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx3_adc_sel,[14:12],2,"Select ADC for UL DFE3 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[3]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx4_adc_sel,[18:16],4,"Select ADC for UL DFE4 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[4]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx5_adc_sel,[22:20],6,"Select ADC for UL DFE5 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[5]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx6_adc_sel,[26:24],7,"Select ADC for UL DFE6 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[6]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_DFE_RADIO_PATH_MAP,28,A026C028,RW,ul_dfe_rx7_adc_sel,[30:28],5,"Select ADC for UL DFE7 RX. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_rx_adc_sel[7]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx0_adc_sel,[2:0],3,"Select ADC for UL ORX0 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[0]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx1_adc_sel,[6:4],1,"Select ADC for UL ORX1 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[1]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx2_adc_sel,[10:8],0,"Select ADC for UL ORX2 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[2]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx3_adc_sel,[14:12],2,"Select ADC for UL ORX3 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[3]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx4_adc_sel,[18:16],4,"Select ADC for UL ORX4 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[4]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx5_adc_sel,[22:20],6,"Select ADC for UL ORX5 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[5]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx6_adc_sel,[26:24],7,"Select ADC for UL ORX6 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[6]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_UL_ORX_RADIO_PATH_MAP,30,A026C030,RW,ul_dfe_orx7_adc_sel,[30:28],5,"Select ADC for UL ORX7 stream. 0=ADC0 (Bank224 ADC01), 1=ADC1 (Bank224 ADC23), 2=ADC2 (Bank225 ADC01) ...",ctrl.ul_dfe_orx_adc_sel[7]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_ORX_RF_SW_CTRL1,100,A026C100,RW,rf_switch_override,[0],0,1 = Software override for RF switches,ctrl.rf_switch_override
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_ORX_RF_SW_CTRL1,100,A026C100,RW,orx_ant_sel,[10:8],0,"0  = Antenna 1, 1 = Antenna 2, 2 = Antenna 3, …, 7 = Antenna 8",ctrl.orx_ant_sel[0]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_ORX_RF_SW_CTRL1,100,A026C100,RW,orx_path_sel,[11],0,"0 = Incident (DPD), 1 = Reflected (VSWR)",ctrl.orx_path_sel[0]
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_ORX_RF_SW_CTRL2,104,A026C104,RW,ant_switch_delay,[15:0],c8,"Antenna switch delay for DPD and VSWR measurements, C8=200 cycles of 368.64MHz = 542ns",ctrl.ant_switch_delay
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_ANT_CAL_CTRL,110,A026C110,RW,tx_ant_cal_en,[0],0,Enable TX calibration. This also controls the Tx vs. Rx switch at the antenna cal port,ctrl.tx_ant_cal_en
FPGA_BASE_ADDR_TOP_CTRL_HW,FPGA_REG_ANT_CAL_CTRL,110,A026C110,RW,rx_ant_cal_en,[8],0,Enable RX Calibration. Tx calbration control (tx_ant_cal_en) must be low to enable RX calibration port,ctrl.rx_ant_cal_en
