a: -584.0,b: -133.0,c: 8388608.0,d: 0.0,t1: -717.0,t2: 8388608.0,t3: 0.0, t4: -1115684864.0, t5: -6014631936.0
a: -0x248,b: -0x85,c: 0x800000,d: 0x0,t1: -0x2cd,t2: 0x800000,t3: 0x0, t4: -0x42800000, t5: -0x166800000
a: -390.0,b: -65.0,c: 8388450.0,d: -51472.0,t1: -455.0,t2: 8439922.0,t3: 20074080.0, t4: -545249250.0, t5: -3840164510.0
a: -0x186,b: -0x41,c: 0x7fff62,d: -0xc910,t1: -0x1c7,t2: 0x80c872,t3: 0x1324e60, t4: -0x207fd7e2, t5: -0xe4e4429e
a: 0.0,b: 0.0,c: 8387976.0,d: -102941.0,t1: 0.0,t2: 8490917.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7ffd88,d: -0x1921d,t1: 0x0,t2: 0x818fa5,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8387187.0,d: -154407.0,t1: 0.0,t2: 8541594.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7ffa73,d: -0x25b27,t1: 0x0,t2: 0x82559a,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8386082.0,d: -205867.0,t1: 0.0,t2: 8591949.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7ff622,d: -0x3242b,t1: 0x0,t2: 0x831a4d,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8384660.0,d: -257319.0,t1: 0.0,t2: 8641979.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7ff094,d: -0x3ed27,t1: 0x0,t2: 0x83ddbb,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8382924.0,d: -308761.0,t1: 0.0,t2: 8691685.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7fe9cc,d: -0x4b619,t1: 0x0,t2: 0x849fe5,t3: 0x0, t4: 0x0, t5: 0x0
a: -95.0,b: -48.0,c: 8380871.0,d: -360192.0,t1: -143.0,t2: 8741063.0,t3: 34218240.0, t4: -402281808.0, t5: -1249972009.0
a: -0x5f,b: -0x30,c: 0x7fe1c7,d: -0x57f00,t1: -0x8f,t2: 0x8560c7,t3: 0x20a2100, t4: -0x17fa5550, t5: -0x4a810f29
a: 0.0,b: 0.0,c: 8378504.0,d: -411609.0,t1: 0.0,t2: 8790113.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7fd888,d: -0x647d9,t1: 0x0,t2: 0x862061,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8375820.0,d: -463011.0,t1: 0.0,t2: 8838831.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7fce0c,d: -0x710a3,t1: 0x0,t2: 0x86deaf,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8372822.0,d: -514396.0,t1: 0.0,t2: 8887218.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7fc256,d: -0x7d95c,t1: 0x0,t2: 0x879bb2,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8369508.0,d: -565761.0,t1: 0.0,t2: 8935269.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7fb564,d: -0x8a201,t1: 0x0,t2: 0x885765,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8365879.0,d: -617104.0,t1: 0.0,t2: 8982983.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7fa737,d: -0x96a90,t1: 0x0,t2: 0x8911c7,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 8361935.0,d: -668425.0,t1: 0.0,t2: 9030360.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x7f97cf,d: -0xa3309,t1: 0x0,t2: 0x89cad8,t3: 0x0, t4: 0x0, t5: 0x0
